n_nodes,actual_density,max_in_degree,alpha,sample_size,kl,fit_time_s,fit_rss_delta_bytes,total_stored_params,total_memory_bytes
5,0.4,2,1.0,1000,39.94829066345951,0.007597099999884449,0,18,144
5,0.4,2,1.0,1400,39.89386491944834,0.007757000000083281,0,18,144
5,0.4,2,1.0,600,23.417124243569535,0.007751899999902889,4096,18,144
5,0.4,2,1.0,1000,23.808684199123757,0.007726199999979144,0,18,144
5,0.4,2,1.0,1400,23.4777054633987,0.007854100000031394,0,18,144
5,0.4,2,1.0,600,42.31326667718777,0.0072519000000283995,0,18,144
5,0.4,2,1.0,1000,42.139602610544735,0.007491699999945922,0,18,144
5,0.4,2,1.0,1400,42.17445045436399,0.009096499999941443,0,18,144
5,0.4,2,5.0,600,35.76015358230133,0.007376300000032643,0,18,144
5,0.4,2,5.0,1000,29.592627999693864,0.008098700000118697,0,18,144
5,0.4,2,5.0,1400,29.68885162243153,0.007680700000037177,0,18,144
5,0.4,2,5.0,600,42.58288273283101,0.00802350000003571,0,18,144
5,0.4,2,5.0,1000,39.26105181037846,0.007489900000109628,0,18,144
5,0.4,2,5.0,1400,39.2301329318469,0.008304099999804748,0,18,144
5,0.4,2,5.0,600,25.776046416062147,0.007370099999889135,0,18,144
5,0.4,2,5.0,1000,25.97712084271521,0.008976699999948323,0,18,144
5,0.4,2,5.0,1400,25.83523314299972,0.007927299999892057,0,18,144
5,0.4,2,5.0,600,24.209162757926148,0.008040500000106476,0,18,144
5,0.4,2,5.0,1000,24.453274333581476,0.007055199999967954,0,18,144
5,0.4,2,5.0,1400,24.314143968707555,0.009237600000005841,0,18,144
5,0.4,2,5.0,600,53.67767634758469,0.007339399999864327,0,18,144
5,0.4,2,5.0,1000,53.69391315250951,0.007551899999953093,0,18,144
5,0.4,2,5.0,1400,53.54025488115226,0.01181840000003831,0,18,144
5,0.4,2,0.1,600,0.015771029387340322,0.007362099999909333,0,18,144
5,0.4,2,0.1,1000,0.008809965005876734,0.009385099999917657,0,18,144
5,0.4,2,0.1,1400,0.008772913489422659,0.013232400000106281,0,18,144
5,0.4,2,0.1,600,0.04351106504119008,0.008274699999901713,0,18,144
5,0.4,2,0.1,1000,0.01143669052602517,0.007755099999940285,0,18,144
5,0.4,2,0.1,1400,0.011653172340453433,0.008144499999843902,0,18,144
5,0.4,2,0.1,600,0.003473935870920131,0.007141000000046915,0,18,144
5,0.4,2,0.1,1000,0.004249235150978117,0.007364899999856789,0,18,144
5,0.4,2,0.1,1400,0.003979991096813508,0.009149600000000646,0,18,144
5,0.4,2,0.1,600,0.013480327363938048,0.008711599999969621,0,18,144
5,0.4,2,0.1,1000,0.0056303717329207435,0.0072466999999960535,0,18,144
5,0.4,2,0.1,1400,0.002979452657439626,0.007729800000106479,0,18,144
5,0.4,2,0.1,600,0.009579591169756435,0.007231199999978344,0,18,144
5,0.4,2,0.1,1000,0.007633075042662661,0.007928399999855174,0,18,144
5,0.4,2,0.1,1400,0.008563155361315945,0.008379399999967063,0,18,144
5,0.4,2,0.5,600,42.52591335971083,0.008236300000135088,0,18,144
5,0.4,2,0.5,1000,23.398322005552934,0.007956100000001243,0,18,144
5,0.4,2,0.5,1400,23.69887553163282,0.007270699999935459,0,18,144
5,0.4,2,0.5,600,35.96940349154163,0.00784679999992477,0,18,144
5,0.4,2,0.5,1000,31.860562444998983,0.007910400000127993,0,18,144
5,0.4,2,0.5,1400,31.826438530667826,0.008265899999969406,0,18,144
5,0.4,2,0.5,600,32.33484980370442,0.008008600000039223,0,18,144
5,0.4,2,0.5,1000,32.617618159810014,0.008297699999957331,0,18,144
5,0.4,2,0.5,1400,32.427462562648984,0.007282200000190642,0,18,144
5,0.4,2,0.5,600,18.20085620674579,0.007178599999861035,0,18,144
5,0.4,2,0.5,1000,18.229201055357418,0.008121800000026269,4096,18,144
5,0.4,2,0.5,1400,18.142284695801578,0.009681199999931778,0,18,144
5,0.4,2,0.5,600,51.63459327409044,0.0078080999999201595,0,18,144
5,0.4,2,0.5,1000,51.680982968152655,0.007624999999961801,0,18,144
5,0.4,2,0.5,1400,51.623146816444475,0.0071845999998458865,0,18,144
5,0.4,2,1.0,600,49.64788470438868,0.008890500000006796,0,18,144
5,0.4,2,1.0,1000,42.882027313924894,0.007583699999941018,0,18,144
5,0.4,2,1.0,1400,43.002479304850965,0.007482899999786241,0,18,144
5,0.4,2,1.0,600,35.646529048655026,0.0075669999998808635,0,18,144
5,0.4,2,1.0,1000,24.273919915126143,0.00834250000002612,0,18,144
5,0.4,2,1.0,1400,24.183630584252498,0.008106900000029782,4096,18,144
5,0.4,2,1.0,600,39.86583825828024,0.008053000000018073,0,18,144
5,0.4,2,1.0,1000,39.94829066345951,0.007241500000191081,0,18,144
5,0.4,2,1.0,1400,39.89386491944834,0.007781300000033298,0,18,144
5,0.4,2,1.0,600,23.417124243569535,0.008096699999896373,0,18,144
5,0.4,2,1.0,1000,23.808684199123757,0.007954899999958798,0,18,144
5,0.4,2,1.0,1400,23.4777054633987,0.00798369999984061,0,18,144
5,0.4,2,1.0,600,42.31326667718777,0.007963400000107868,0,18,144
5,0.4,2,1.0,1000,42.139602610544735,0.009040599999934784,0,18,144
5,0.4,2,1.0,1400,42.17445045436399,0.007197500000074797,0,18,144
5,0.4,2,5.0,600,35.76015358230133,0.007961300000033589,4096,18,144
5,0.4,2,5.0,1000,29.592627999693864,0.008815500000082466,20480,18,144
5,0.4,2,5.0,1400,29.68885162243153,0.008651099999951839,8192,18,144
5,0.4,2,5.0,600,42.58288273283101,0.007493699999940873,0,18,144
5,0.4,2,5.0,1000,39.26105181037846,0.008161799999925279,0,18,144
5,0.4,2,5.0,1400,39.2301329318469,0.008996699999897828,0,18,144
5,0.4,2,5.0,600,25.776046416062147,0.007558400000107213,0,18,144
5,0.4,2,5.0,1000,25.97712084271521,0.008806800000002113,0,18,144
5,0.4,2,5.0,1400,25.83523314299972,0.0073813999999856605,0,18,144
5,0.4,2,5.0,600,24.209162757926148,0.007171800000151052,0,18,144
5,0.4,2,5.0,1000,24.453274333581476,0.008195599999908154,0,18,144
5,0.4,2,5.0,1400,24.314143968707555,0.007628800000020419,0,18,144
5,0.4,2,5.0,600,53.67767634758469,0.007714999999961947,0,18,144
