n_nodes,actual_density,max_in_degree,alpha,kl,sample_size
10,0.2,5,0.5,0.03793140878732282,1000
10,0.2,5,0.5,0.018985613597287045,1400
10,0.2,5,1.0,0.05747441014081105,200
10,0.2,5,1.0,0.024483337196142815,600
10,0.2,5,1.0,0.0059598745279455,1000
10,0.2,5,1.0,0.004786368792758526,1400
10,0.2,5,1.0,0.044733281557596184,200
10,0.2,5,1.0,0.01718621151510678,600
10,0.2,5,1.0,0.020099339126434884,1000
10,0.2,5,1.0,0.015006396298183884,1400
10,0.2,5,1.0,0.09926730943298769,200
10,0.2,5,1.0,0.024801463645818082,600
10,0.2,5,1.0,0.025000407178890155,1000
10,0.2,5,1.0,0.011840096055592393,1400
10,0.2,5,1.0,0.07311758728743767,200
10,0.2,5,1.0,0.02049950351084634,600
10,0.2,5,1.0,0.013226323045509514,1000
10,0.2,5,1.0,0.007557909335405637,1400
10,0.2,5,1.0,0.22285921613872836,200
10,0.2,5,1.0,0.13581575457902872,600
10,0.2,5,1.0,0.03863271830525013,1000
10,0.2,5,1.0,0.056106585287131014,1400
10,0.2,5,5.0,0.03512995853910116,200
10,0.2,5,5.0,0.009293850445239258,600
10,0.2,5,5.0,0.005832554031645913,1000
10,0.2,5,5.0,0.0027253597452430627,1400
10,0.2,5,5.0,0.03268211213600506,200
10,0.2,5,5.0,0.01303215914901836,600
10,0.2,5,5.0,0.009195409589435512,1000
10,0.2,5,5.0,0.0063226060332570964,1400
10,0.2,5,5.0,0.0740903551420972,200
10,0.2,5,5.0,0.013453998951309951,600
10,0.2,5,5.0,0.011662400181524795,1000
10,0.2,5,5.0,0.010508075619590747,1400
10,0.2,5,5.0,0.028264547871235737,200
10,0.2,5,5.0,0.011611913496553022,600
10,0.2,5,5.0,0.007563622943261983,1000
10,0.2,5,5.0,0.0040849142249625384,1400
10,0.2,5,5.0,0.03084385360383045,200
10,0.2,5,5.0,0.012159254481218443,600
10,0.2,5,5.0,0.006680557617804045,1000
10,0.2,5,5.0,0.005301763255738445,1400
