dag_idx,n_nodes,in_degree,alpha,sample_size,kl,density,fit_time_s,fit_rss_delta_bytes,total_stored_params,total_memory_bytes
1,10,2,0.5,1000,0.12821417820039974,0.37777777777777777,0.05295161699905293,28672,70,560
1,10,2,0.5,1400,0.06822493858856739,0.37777777777777777,0.05301065999810817,28672,70,560
2,10,2,0.5,600,0.07936825172148786,0.37777777777777777,0.05448786999841104,8192,70,560
2,10,2,0.5,1000,0.07287203313816988,0.37777777777777777,0.05409825300012017,24576,70,560
2,10,2,0.5,1400,0.06306557717296503,0.37777777777777777,0.05314700600138167,32768,70,560
3,10,2,0.5,600,0.15088431202243113,0.37777777777777777,0.05099073800010956,4096,70,560
3,10,2,0.5,1000,0.06417782396496076,0.37777777777777777,0.05127593299766886,20480,70,560
3,10,2,0.5,1400,0.06215120449672918,0.37777777777777777,0.05221598299976904,32768,70,560
4,10,2,0.5,600,0.04685898025878283,0.37777777777777777,0.05104202999791596,16384,70,560
4,10,2,0.5,1000,0.03961105600510412,0.37777777777777777,0.05061407699759002,28672,70,560
4,10,2,0.5,1400,0.03559909463459472,0.37777777777777777,0.05223830300019472,28672,70,560
5,10,2,0.5,600,0.07256947601049617,0.37777777777777777,0.0532542500004638,12288,70,560
5,10,2,0.5,1000,0.0655438107726449,0.37777777777777777,0.052504433999274625,32768,70,560
5,10,2,0.5,1400,0.03372244086549389,0.37777777777777777,0.0535768959998677,32768,70,560
1,10,2,1.0,600,0.08903893052230526,0.37777777777777777,0.053915522003080696,8192,70,560
1,10,2,1.0,1000,0.05663321852112249,0.37777777777777777,0.05354867899950477,36864,70,560
1,10,2,1.0,1400,0.05474636645145067,0.37777777777777777,0.05290484000215656,32768,70,560
2,10,2,1.0,600,0.034554942300828215,0.37777777777777777,0.0517766990014934,8192,70,560
2,10,2,1.0,1000,0.02637451885445631,0.37777777777777777,0.04958362199977273,12288,70,560
2,10,2,1.0,1400,0.016723076279365603,0.37777777777777777,0.051547979997849325,40960,70,560
3,10,2,1.0,600,0.03525681982099823,0.37777777777777777,0.05117541100116796,4096,70,560
3,10,2,1.0,1000,0.019275683311261,0.37777777777777777,0.04773082099927706,24576,70,560
3,10,2,1.0,1400,0.01323873369931772,0.37777777777777777,0.05407339199882699,36864,70,560
4,10,2,1.0,600,0.05200862015963603,0.37777777777777777,0.055521615999168716,4096,70,560
4,10,2,1.0,1000,0.032375395190064715,0.37777777777777777,0.05098158699911437,28672,70,560
4,10,2,1.0,1400,0.020280829068749173,0.37777777777777777,0.05055507300130557,36864,70,560
5,10,2,1.0,600,0.06190384548242899,0.37777777777777777,0.05197424899961334,8192,70,560
5,10,2,1.0,1000,0.01367064460891088,0.37777777777777777,0.06150315299964859,28672,70,560
5,10,2,1.0,1400,0.011895778415388008,0.37777777777777777,0.0510108720009157,24576,70,560
1,10,4,0.1,600,0.058973285695961365,0.6666666666666666,0.06626667799719144,24576,222,1776
1,10,4,0.1,1000,0.05769892632125174,0.6666666666666666,0.06292343899986008,40960,222,1776
1,10,4,0.1,1400,0.055985881167504865,0.6666666666666666,0.06317505299739423,53248,222,1776
2,10,4,0.1,600,0.3793628971128448,0.6666666666666666,0.06365323499994702,20480,222,1776
2,10,4,0.1,1000,0.2737037378028564,0.6666666666666666,0.06514807300118264,57344,222,1776
2,10,4,0.1,1400,0.15727306885943165,0.6666666666666666,0.0641532539993932,32768,222,1776
3,10,4,0.1,600,0.03883298909458567,0.6666666666666666,0.06627292499979376,24576,222,1776
3,10,4,0.1,1000,0.04088160002522371,0.6666666666666666,0.06462456799999927,45056,222,1776
3,10,4,0.1,1400,0.026056655363004916,0.6666666666666666,0.06498146699959761,45056,222,1776
4,10,4,0.1,600,0.22756648121174813,0.6666666666666666,0.06518018800124992,16384,222,1776
4,10,4,0.1,1000,0.10741024917980908,0.6666666666666666,0.06355626900040079,36864,222,1776
4,10,4,0.1,1400,0.10716700840729368,0.6666666666666666,0.0627804389987432,45056,222,1776
5,10,4,0.1,600,0.2897318981329275,0.6666666666666666,0.059748528998170514,28672,222,1776
5,10,4,0.1,1000,0.051380711625853746,0.6666666666666666,0.05669870199926663,40960,222,1776
5,10,4,0.1,1400,0.0047669498503220605,0.6666666666666666,0.056706493996898644,49152,222,1776
1,10,4,0.5,600,0.43326864746684896,0.6666666666666666,0.06092839600023581,24576,222,1776
1,10,4,0.5,1000,0.1727435660877362,0.6666666666666666,0.06267675200069789,45056,222,1776
1,10,4,0.5,1400,0.14006602514713715,0.6666666666666666,0.06572565199894598,49152,222,1776
2,10,4,0.5,600,0.6454919505586335,0.6666666666666666,0.06280472800062853,16384,222,1776
2,10,4,0.5,1000,0.28479189090654333,0.6666666666666666,0.06338962999871,36864,222,1776
2,10,4,0.5,1400,0.15214945213913178,0.6666666666666666,0.06338848599989433,49152,222,1776
3,10,4,0.5,600,0.2798781903323872,0.6666666666666666,0.06388997699832544,12288,222,1776
3,10,4,0.5,1000,0.21181932578980617,0.6666666666666666,0.05954184399888618,36864,222,1776
